aar	aa
abk	ab
abm	
ace	
ach	
ada	
ady	
afa	
afh	
afr	af
ain	
aka	ak
akk	
alb	sq
ale	
alf	
alg	
alt	
amh	am
ang	
anp	
apa	
ara	ar
arb	ar
arc	
arg	an
arm	hy
arn	
arp	
art	
arw	
asm	as
ast	
ath	
aus	
ava	av
ave	ae
awa	
aym	ay
aze	az
bad	
bai	
bak	ba
bal	
bam	bm
ban	
baq	eu
bas	
bat	
bej	
bel	be
bem	
ben	bn
ber	
bho	
bih	bh
bik	
bin	
bis	bi
bla	
bnt	
bod	bo
bos	bs
bra	
bre	br
btk	
bua	
bug	
bul	bg
bur	my
bux	
byn	
cad	
cai	
car	
cat	ca
cau	
ceb	
cel	
ces	cs
cha	ch
chb	
che	ce
chg	
chi	zh
chk	
chm	
chn	
cho	
chp	
chr	
chu	cu
chv	cv
chy	
ckb	ku
ckl	
cky	
cmc	
cnr	
cop	
cor	kw
cos	co
cpe	
cpf	
cpp	
cre	cr
crh	
crp	
csb	
cus	
cym	cy
cze	cs
dak	
dan	da
dar	
day	
del	
den	
deu	de
dgr	
din	
div	dv
doi	
dra	
dsb	
dua	
dum	
dut	nl
dyu	
dzo	dz
efi	
egy	
eka	
ekk	et
eky	
ell	el
elx	
eng	en
enm	
epo	eo
est	et
eus	eu
ewe	ee
ewo	
fan	
fao	fo
fas	fa
fat	
fij	fj
fil	
fin	fi
fiu	
fon	
fra	fr
fre	fr
frm	
fro	
frr	
frs	
fry	fy
ful	ff
fur	
gaa	
gay	
gaz	om
gba	
gbr	
gek	
gem	
geo	ka
ger	de
gez	
gil	
gla	gd
gle	ga
glg	gl
glv	gv
gmh	
goh	
gon	
gor	
got	
grb	
grc	
gre	el
grn	gn
gsw	
guj	gu
gwi	
gyz	
hai	
hat	ht
hau	ha
haw	
heb	he
her	hz
hil	
him	
hin	hi
hit	
hmn	
hmo	ho
hne	
hrv	hr
hsb	
hun	hu
hup	
hwo	
hye	hy
iba	
ibo	ig
ice	is
ido	io
iii	ii
ijo	
iko	
iku	iu
ile	ie
ilo	
ina	ia
inc	
ind	id
ine	
inh	
ipk	ik
ira	
iro	
isl	is
ita	it
jav	jv
jbo	
jer	
jgk	
jpn	ja
jpr	
jrb	
kaa	
kab	
kac	
kal	kl
kam	
kan	kn
kar	
kas	ks
kat	ka
kau	kr
kaw	
kaz	kk
kbd	
kha	
khi	
khm	km
kho	
kik	ki
kin	rw
kir	ky
kji	
kmb	
kok	
kom	kv
kon	kg
koq	
kor	ko
kos	
kpe	
krc	
krl	
kro	
kru	
kua	kj
kum	
kur	ku
kut	
kvy	
kxf	
lad	
lah	
lam	
lao	lo
lat	la
lav	lv
lez	
lim	li
lin	ln
lit	lt
lla	
lol	
loz	
ltz	lb
lua	
lub	lu
lug	lg
lui	
lun	
luo	
lus	
mac	mk
mad	
mag	
mah	mh
mai	
mak	
mal	ml
man	
mao	mi
map	
mar	mr
mas	
may	ms
mdf	
mdr	
mdt	
men	
mfn	
mga	
mgj	
mho	
mic	
min	
mis	
mkd	mk
mkf	
mkh	
mlg	mg
mlt	mt
mnc	
mni	
mno	
moh	
mon	mn
mos	
mri	mi
msa	ms
mul	
mun	
mus	
mwl	
mwr	
mya	my
myn	
myv	
nah	
nai	
nap	
nau	na
nav	nv
nbl	nr
ndd	
nde	nd
ndo	ng
nds	
nep	ne
new	
nia	
nic	
niu	
nld	nl
nno	nn
nob	nb
nog	
non	
nor	no
nqo	
nso	
nub	
nwc	
nya	ny
nym	
nyn	
nyo	
nzb	
nzi	
oci	oc
ofu	
oji	oj
ori	or
orm	om
osa	
oss	os
ota	
oto	
paa	
pag	
pal	
pam	
pan	pa
pap	
pau	
peo	
per	fa
pes	fa
phi	
phn	
pli	pi
plj	
pol	pl
pon	
por	pt
pra	
pro	
pus	ps
pym	
qaa-qtz	
que	qu
raj	
rap	
rar	
rmz	
roa	
roh	rm
rom	
ron	ro
rum	ro
run	rn
rup	
rus	ru
sad	
sag	sg
sah	
sai	
sal	
sam	
san	sa
sas	
sat	
scn	
sco	
sel	
sem	
sga	
sgn	
shn	
sid	
sin	si
sio	
sit	
sla	
slk	sk
slo	sk
slv	sl
sma	
sme	se
smi	
smj	
smn	
smo	sm
sms	
sna	sn
snd	sd
snk	
snq	
sog	
som	so
son	
sot	st
spa	es
sqi	sq
srd	sc
srn	
srp	sr
srr	
ssa	
ssw	ss
suk	
sun	su
suq	
sus	
sux	
swa	sw
swe	sv
swh	sw
swj	
syc	
syr	
tah	ty
tai	
tam	ta
tat	tt
tel	te
tem	
ter	
tet	
tgk	tg
tgl	tl
tha	th
tib	bo
tig	
tir	ti
tiv	
tkl	
tlh	
tli	
tmf	
tmh	
tog	
ton	to
tpi	
tpj	
tsi	
tsn	tn
tso	ts
tuk	tk
tum	
tup	
tur	tr
tut	
tvl	
twi	tw
tyv	
tyy	
udm	
uga	
uig	ug
ukr	uk
umb	
und	
urd	ur
uzb	uz
vai	
ven	ve
vie	vi
vol	vo
vot	
wak	
wal	
war	
was	
wel	cy
wen	
wji	
wln	wa
wol	wo
wum	
xal	
xho	xh
xsn	
xte	
yao	
yap	
yid	yi
yom	
yor	yo
ypk	
zap	
zbl	
zen	
zgh	
zha	za
zho	zh
zmb	
znd	
zul	zu
zun	
zxx	
zza	