ara	Arabic	Y
aym	Aymara	Y
aze	Azerbaijani	Y
bal	Baluchi	Y
bik	Bikol	Y
bnc	Bontok	Y
bua	Buriat	Y
chm	Mari	Y
cre	Cree	Y
del	Delaware	Y
den	Slave	Y
din	Dinka	Y
doi	Dogri	Y
epo	Esperanto	
est	Estonian	Y
fas	Persian	Y
faz	Fars, Northwestern	
ful	Fulah	Y
gba	Gbaya	Y
gon	Gondi	Y
grb	Grebo	Y
grn	Guarani	Y
hai	Haida	Y
hbs	Serbo-Croatian	Y
hmn	Hmong	Y
iku	Inuktitut	Y
ipk	Inupiaq	Y
jrb	Judeo-Arabic	Y
kau	Kanuri	Y
kln	Kalenjin	Y
kok	Konkani	Y
kom	Komi	Y
kon	Kongo	Y
kpe	Kpelle	Y
ktq	Katabagan	
kur	Kurdish	Y
lah	Lahnda	Y
lav	Latvian	Y
luy	Oluluyia	Y
man	Mandingo	Y
mlg	Malagasy	Y
mon	Mongolian	Y
msa	Malay	Y
mwr	Marwari	Y
nep	Nepali	Y
nsc	Nshi	
oji	Ojibwa	Y
ori	Oriya	Y
orm	Oromo	Y
pdt	Plautdietsch	
pus	Pushto	Y
que	Quechua	Y
raj	Rajasthani	Y
rml	Baltic Romani	Y
rom	Romany	Y
sqi	Albanian	Y
srd	Sardinian	Y
swa	Swahili	Y
syr	Syriac	Y
tmh	Tamashek	Y
uzb	Uzbek	Y
vin	Vinza	
wma	Mawa	
yel	Yela	
yes	Nyankpa	
yid	Yiddish	Y
zap	Zapotec	Y
zha	Zhuang	Y
zho	Chinese	Y
zza	Zaza	Y